Model,Jaw,Fragment,Points,PCA Window Start,PCA Window End,Nominal Overlap
model_05,upper,0,52050,-29.44959434950356,-4.467947710454762,0.6
model_05,upper,1,40457,-19.45693569388404,5.524710945164756,0.6
model_05,upper,2,41090,-9.46427703826452,15.517369600784278,0.6
model_05,upper,3,62482,0.5283816173549987,25.510028256403793,0.6
