Model,Jaw,Fragment,Points,PCA Window Start,PCA Window End,Nominal Overlap
model_04,upper,0,53983,-29.86007481334124,-3.821709755919759,0.6
model_04,upper,1,41226,-19.444728790372647,6.593636267048833,0.6
model_04,upper,2,42219,-9.029382767404055,17.008982290017425,0.6
model_04,upper,3,60135,1.385963255564537,27.42432831298602,0.6
