Model,Jaw,Fragment,Points,PCA Window Start,PCA Window End,Nominal Overlap
model_03,upper,0,57428,-33.37523831154424,-2.9594757018360625,0.6
model_03,upper,1,44908,-21.208933267660967,9.206829342047207,0.6
model_03,upper,2,43554,-9.042628223777697,21.373134385930477,0.6
model_03,upper,3,56385,3.1236768201055725,33.53943942981376,0.6
