Model,Jaw,Fragment,Points,PCA Window Start,PCA Window End,Nominal Overlap
model_02,upper,0,52189,-33.61916843372889,-5.770565150616022,0.6
model_02,upper,1,46165,-22.47972712048374,5.368876162629125,0.6
model_02,upper,2,41370,-11.340285807238594,16.50831747587427,0.6
model_02,upper,3,62041,-0.2008444939934435,27.647758789119422,0.6
